College_Code,College_Name,Branch_Code,Branch_Name,OC,BC,BCM,MBC,SC,SCA,ST,BC_is_missing,BCM_is_missing,MBC_is_missing,SC_is_missing,SCA_is_missing,ST_is_missing,College_Name_is_missing,Branch_Code_is_missing,Branch_Name_is_missing
1,13,12,34,195.0,194.0,192.5,191.5,183.0,182.0,176.5,False,False,False,False,False,False,False,False,False
1,13,14,31,198.0,196.5,197.5,194.75,190.25,161.75,171.0,False,False,False,False,True,False,False,False,False
1,13,16,45,196.75,195.5,195.0,193.0,191.0,179.5,186.0,False,False,False,False,False,False,False,False,False
1,13,17,41,195.0,192.0,190.0,191.5,184.5,176.5,182.75,False,False,False,False,False,False,False,False,False
1,13,19,44,193.33,191.75,191.0,189.0,179.0,154.5,170.75,False,False,False,False,False,False,False,False,False
1,13,22,53,187.5,185.25,183.0,183.5,174.0,170.25,165.0,False,False,False,False,False,False,False,False,False
1,13,24,62,185.0,183.0,181.5,178.0,164.25,156.5,167.0,False,False,False,False,False,True,False,False,False
1,13,25,63,192.5,190.5,189.0,188.5,177.0,155.0,181.25,False,False,False,False,False,False,False,False,False
1,13,29,75,183.0,178.5,181.5,172.0,168.5,134.5,167.0,False,False,False,False,False,True,False,False,False
1,13,30,79,192.5,190.5,189.75,187.5,183.5,172.5,177.0,False,False,False,False,False,False,False,False,False
1,13,32,83,187.0,183.0,184.75,179.0,179.0,162.5,167.0,False,False,False,False,False,True,False,False,False
1,13,34,74,184.0,180.0,178.5,176.5,163.25,144.5,167.0,False,False,False,False,False,True,False,False,False
1,13,38,93,180.5,178.0,177.0,172.0,167.0,167.5,167.0,False,False,False,False,False,True,False,False,False
1,13,41,27,175.75,169.0,172.5,162.0,148.0,160.67,167.0,False,False,False,False,False,True,False,False,False
1,13,42,80,176.0,169.75,163.5,158.0,138.0,161.75,167.0,False,False,False,False,True,True,False,False,False
2,12,4,8,174.0,166.5,168.0,155.5,139.0,113.5,167.0,False,False,False,False,False,True,False,False,False
2,12,10,24,190.0,188.5,187.5,184.0,176.0,174.0,134.0,False,False,False,False,False,False,False,False,False
2,12,11,25,187.0,185.0,182.0,179.0,163.5,138.5,167.0,False,False,False,False,False,True,False,False,False
2,12,13,22,168.0,162.5,156.0,154.0,144.5,113.5,167.0,False,False,False,False,False,True,False,False,False
2,12,21,50,186.0,183.5,176.0,173.5,170.0,139.5,147.25,False,False,False,False,False,False,False,False,False
2,12,23,60,190.75,187.0,182.5,179.75,166.5,149.0,167.0,False,False,False,False,False,True,False,False,False
2,12,26,59,190.0,184.0,180.0,172.25,163.75,138.5,167.0,False,False,False,False,False,True,False,False,False
2,12,28,67,169.0,162.5,152.5,157.0,148.5,121.0,126.0,False,False,False,False,False,False,False,False,False
2,12,35,90,179.0,173.5,175.5,167.0,150.5,143.0,124.5,False,False,False,False,False,False,False,False,False
2,12,36,89,178.5,173.0,175.0,167.5,150.0,117.5,167.0,False,False,False,False,False,True,False,False,False
2,12,40,99,173.0,165.0,159.5,164.5,142.0,133.5,139.5,False,False,False,False,False,False,False,False,False
4,15,1,6,192.0,190.0,185.5,185.0,179.0,166.0,167.0,False,False,False,False,False,True,False,False,False
4,15,5,11,183.5,180.0,177.0,174.5,159.0,123.5,167.0,False,False,False,False,False,True,False,False,False
4,15,6,10,187.5,185.0,179.0,177.5,170.0,155.5,150.0,False,False,False,False,False,False,False,False,False
4,15,12,34,193.0,192.0,188.5,190.0,179.0,149.0,148.0,False,False,False,False,False,False,False,False,False
4,15,14,31,194.5,193.25,190.0,191.5,184.5,190.0,165.5,False,False,False,False,False,False,False,False,False
4,15,16,45,193.5,192.0,190.0,190.0,183.75,173.5,161.5,False,False,False,False,False,False,False,False,False
4,15,18,48,190.0,188.5,187.0,185.0,170.0,143.0,167.0,False,False,False,False,False,True,False,False,False
4,15,19,44,191.0,190.0,186.0,185.5,173.0,144.0,143.0,False,False,False,False,False,False,False,False,False
4,15,25,63,190.0,190.0,187.5,185.5,170.5,143.5,146.0,False,False,False,False,False,False,False,False,False
4,15,31,78,190.0,189.5,183.5,185.0,171.0,130.0,131.0,False,False,False,False,False,False,False,False,False
4,15,37,94,184.0,179.5,178.25,175.5,158.5,131.5,142.0,False,False,False,False,False,False,False,False,False
